card_no,address,short_name,parent,batch_no,province,city,area
661214,新疆生产建设兵团农二师24团,新疆生产建设兵团农二师,660000,1,新疆,新疆, 24团
661215,新疆生产建设兵团农二师25团,新疆生产建设兵团农二师,660000,1,新疆,新疆, 25团
661217,新疆生产建设兵团农二师27团,新疆生产建设兵团农二师,660000,1,新疆,新疆, 27团
661219,新疆生产建设兵团农二师29团,新疆生产建设兵团农二师,660000,1,新疆,新疆, 29团
661220,新疆生产建设兵团农二师30团,新疆生产建设兵团农二师,660000,1,新疆,新疆, 30团
661221,新疆生产建设兵团农二师31团,新疆生产建设兵团农二师,660000,1,新疆,新疆, 31团
661223,新疆生产建设兵团农二师33团,新疆生产建设兵团农二师,660000,1,新疆,新疆, 33团
661224,新疆生产建设兵团农二师34团,新疆生产建设兵团农二师,660000,1,新疆,新疆, 34团
661226,新疆生产建设兵团农二师36团,新疆生产建设兵团农二师,660000,1,新疆,新疆, 36团
661227,新疆生产建设兵团农二师223团,新疆生产建设兵团农二师,660000,1,新疆,新疆, 223团
661300,新疆生产建设兵团农三师,新疆生产建设兵团农三师,660000,1,新疆,新疆, 
661311,新疆生产建设兵团农三师41团,新疆生产建设兵团农三师,660000,1,新疆,新疆, 41团
661312,新疆生产建设兵团农三师42团,新疆生产建设兵团农三师,660000,1,新疆,新疆, 42团
661314,新疆生产建设兵团农三师44团,新疆生产建设兵团农三师,660000,1,新疆,新疆, 44团
661315,新疆生产建设兵团农三师45团,新疆生产建设兵团农三师,660000,1,新疆,新疆, 45团
661316,新疆生产建设兵团农三师46团,新疆生产建设兵团农三师,660000,1,新疆,新疆, 46团
661318,新疆生产建设兵团农三师48团6627,新疆生产建设兵团农三师,660000,1,新疆,新疆, 48团
661320,新疆生产建设兵团农三师50团,新疆生产建设兵团农三师,660000,1,新疆,新疆, 50团
661321,新疆生产建设兵团农三师51团,新疆生产建设兵团农三师,660000,1,新疆,新疆, 51团
661323,新疆生产建设兵团农三师53团,新疆生产建设兵团农三师,660000,1,新疆,新疆, 53团
661324,新疆生产建设兵团农三师红旗农场,新疆生产建设兵团农三师,660000,1,新疆,新疆, 红旗农场
661325,新疆生产建设兵团农三师托云牧场,新疆生产建设兵团农三师,660000,1,新疆,新疆, 托云牧场
661326,新疆生产建设兵团农三师东风农场,新疆生产建设兵团农三师,660000,1,新疆,新疆, 东风农场
661328,新疆生产建设兵团农三师叶城牧场,新疆生产建设兵团农三师,660000,1,新疆,新疆, 叶城牧场
661329,新疆生产建设兵团农三师伽师总场,新疆生产建设兵团农三师,660000,1,新疆,新疆, 伽师总场
661400,新疆生产建设兵团农四师,新疆生产建设兵团农四师,660000,1,新疆,新疆, 
661411,新疆生产建设兵团农四师61团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 61团
661412,新疆生产建设兵团农四师62团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 62团
661413,新疆生产建设兵团农四师63团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 63团
661414,新疆生产建设兵团农四师64团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 64团
661416,新疆生产建设兵团农四师66团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 66团
661417,新疆生产建设兵团农四师67团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 67团
661418,新疆生产建设兵团农四师68团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 68团
661419,新疆生产建设兵团农四师69团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 69团
661420,新疆生产建设兵团农四师70团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 70团
661421,新疆生产建设兵团农四师71团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 71团
661422,新疆生产建设兵团农四师72团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 72团
661423,新疆生产建设兵团农四师73团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 73团
661424,新疆生产建设兵团农四师74团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 74团
661425,新疆生产建设兵团农四师75团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 75团
661426,新疆生产建设兵团农四师76团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 76团
661427,新疆生产建设兵团农四师77团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 77团
661428,新疆生产建设兵团农四师78团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 78团
661429,新疆生产建设兵团农四师79团,新疆生产建设兵团农四师,660000,1,新疆,新疆, 79团
661500,新疆生产建设兵团农五师,新疆生产建设兵团农五师,660000,1,新疆,新疆, 
661511,新疆生产建设兵团农五师81团,新疆生产建设兵团农五师,660000,1,新疆,新疆, 81团
661513,新疆生产建设兵团农五师83团,新疆生产建设兵团农五师,660000,1,新疆,新疆, 83团
661514,新疆生产建设兵团农五师84团,新疆生产建设兵团农五师,660000,1,新疆,新疆, 84团
661516,新疆生产建设兵团农五师86团,新疆生产建设兵团农五师,660000,1,新疆,新疆, 86团
661517,新疆生产建设兵团农五师87团,新疆生产建设兵团农五师,660000,1,新疆,新疆, 87团
661518,新疆生产建设兵团农五师88团,新疆生产建设兵团农五师,660000,1,新疆,新疆, 88团
661519,新疆生产建设兵团农五师89团,新疆生产建设兵团农五师,660000,1,新疆,新疆, 89团
661520,新疆生产建设兵团农五师90团,新疆生产建设兵团农五师,660000,1,新疆,新疆, 90团
